UniqueID;CICLO;ANIO;SEMESTRE;EDAD;SEXO;PROVINCIA;TIPOCOLEGIO;COLEEXC;COLPRE;COLPRIV;EXADMISION;ESCALA;MODALIDAD;DISTRITO;PROVINCIA;DEPARTAMENTO;DISTANCIA;FILOSOFIA;ACTIVIDADES;LENGUAJE;REALIDADNACIONAL;METODOSDEESTUDIO;INTRODUCCIONINGENIERIA;GEOMETRIAANALITICA;MATEMATICADISCRETA;APROBADO
89;20101;2010;1;29;1;0;PRIVADO;0;0;1;0.241;14;CONCURSO ORDINARIO DE ADMISION;CARABAYLLO;LIMA;LIMA;23.205;11;0;6;7;4;11;2;3;0
91;20101;2010;1;18;0;0;ESTATAL;0;0;0;0.283;15;CONCURSO ORDINARIO DE ADMISION;LA MOLINA;LIMA;LIMA;0.862;13;11;14;13;11;12;7;11;0
93;20101;2010;1;18;1;0;PRIVADO;0;0;1;0.284;13;CONCURSO ORDINARIO DE ADMISION;CHORRILLOS;LIMA;LIMA;17.003;12;11;13;12;12;11;8;12;0
94;20101;2010;1;20;0;0;PRIVADO;0;0;1;0.217;15;CONCURSO ORDINARIO DE ADMISION;VILLA EL SALVADOR;LIMA;LIMA;16.049;15;5;12;14;7;11;6;11;0
95;20101;2010;1;16;1;0;PRE-UNIVERSITARIO;0;1;1;0.34;13;CONCURSO ORDINARIO DE ADMISION;SAN BORJA;LIMA;LIMA;5.214;17;16;11;12;11;12;16;14;1
97;20101;2010;1;17;1;1;ESTATAL;0;0;0;0.332;13;CONCURSO ORDINARIO DE ADMISION;LIMA;LIMA;LIMA;12.257;11;11;11;15;9;13;1;5;0
98;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;0;1;1;0.347;15;CONCURSO ORDINARIO DE ADMISION;MAGDALENA DEL MAR;LIMA;LIMA;13.992;13;0;9;10;9;8;3;4;0
101;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;1;1;1;0.191;14;CONCURSO ORDINARIO DE ADMISION;VILLA EL SALVADOR;LIMA;LIMA;16.049;11;14;6;8;6;5;1;5;0
102;20101;2010;1;19;1;0;PRE-UNIVERSITARIO;0;1;1;0.319;14;CONCURSO ORDINARIO DE ADMISION;EL AGUSTINO;LIMA;LIMA;7.285;13;16;12;12;11;11;12;11;1
103;20101;2010;1;16;0;0;PRIVADO;1;0;1;0.327;15;CONCURSO ORDINARIO DE ADMISION;EL AGUSTINO;LIMA;LIMA;6.258;13;12;14;11;14;11;2;9;0
104;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.389;13;CONCURSO ORDINARIO DE ADMISION;SAN MARTIN DE PORRES;LIMA;LIMA;18.941;14;16;14;15;11;11;13;13;1
105;20101;2010;1;17;1;0;PRIVADO;0;0;1;0.433;14;CONCURSO ORDINARIO DE ADMISION;BREÑA;LIMA;LIMA;12.138;15;15;10;11;13;12;13;16;0
106;20101;2010;1;16;0;0;PRE-UNIVERSITARIO;0;1;1;0.365;13;CONCURSO ORDINARIO DE ADMISION;EL AGUSTINO;LIMA;LIMA;7.491;14;12;13;12;11;11;7;6;0
107;20101;2010;1;21;0;0;ESTATAL;0;0;0;0.278;14;CONCURSO ORDINARIO DE ADMISION;LIMA;LIMA;LIMA;9.536;7;15;7;5;6;6;2;2;0
108;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.336;14;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;2.231;7;5;5;8;3;3;0;1;0
109;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.254;14;CONCURSO ORDINARIO DE ADMISION;LA VICTORIA;LIMA;LIMA;8.643;10;13;11;10;2;7;6;4;0
110;20101;2010;1;19;1;0;ESTATAL;0;0;0;0.209;14;CONCURSO ORDINARIO DE ADMISION;LA VICTORIA;LIMA;LIMA;7.749;11;11;6;11;8;9;2;4;0
111;20101;2010;1;15;0;0;PRIVADO;0;0;1;0.222;13;CONCURSO ORDINARIO DE ADMISION;CALLAO;CALLAO;CALLAO;18.484;13;14;14;12;11;11;4;8;0
112;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;0;1;1;0.512;15;CONCURSO ORDINARIO DE ADMISION;SAN MARTIN DE PORRES;LIMA;LIMA;13.982;13;0;11;13;12;11;13;12;0
113;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.278;15;CONCURSO ORDINARIO DE ADMISION;LIMA;LIMA;LIMA;11.398;13;13;12;13;10;11;12;13;0
115;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.205;14;CONCURSO ORDINARIO DE ADMISION;PUEBLO LIBRE;LIMA;LIMA;13.093;6;0;12;5;7;7;1;3;0
116;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.202;14;CONCURSO ORDINARIO DE ADMISION;CHACLACAYO;LIMA;LIMA;15.817;8;14;4;9;3;8;2;1;0
118;20101;2010;1;18;1;0;PRE-UNIVERSITARIO;0;1;1;0.394;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;6.51;15;12;12;13;13;12;15;13;0
119;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.305;14;CONCURSO ORDINARIO DE ADMISION;LOS OLIVOS;LIMA;LIMA;16.461;12;13;15;15;14;12;10;12;0
